sep=,
DeviceTag:,Xsens_DOT_3,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:58:35.170 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3108157283, -0.67732775, -0.3914483, 0.30111384, -0.5452865, 0.1942455, 0.03983582, -0.0502882, 0
2, 3108173950, -0.6772808, -0.39144358, 0.3011905, -0.5453057, 0.14229952, 0.034405127, -0.059114456, 0
3, 3108190617, -0.67730415, -0.39141038, 0.30126745, -0.54525805, 0.047319926, 0.049746606, -0.04923916, 0
4, 3108207284, -0.6773612, -0.39135724, 0.30135992, -0.54517424, 0.042991377, 0.05385187, -0.020886421, 0
5, 3108223951, -0.6774176, -0.39125893, 0.30145782, -0.5451205, 0.10315302, 0.06956327, -0.03476429, 0
6, 3108240618, -0.6774355, -0.3911577, 0.30152056, -0.54513615, 0.16750307, 0.07609208, -0.021967888, 0
7, 3108257285, -0.6774387, -0.3910747, 0.30159336, -0.5451515, 0.17965144, 0.09103325, -0.030036926, 0
8, 3108273952, -0.67744374, -0.39104295, 0.30165726, -0.54513276, 0.12745915, 0.08814904, -0.046732903, 0
9, 3108290619, -0.6774791, -0.39102805, 0.30173013, -0.54505926, 0.09039244, 0.086786725, -0.03646469, 0
10, 3108307286, -0.6775175, -0.39100635, 0.3018117, -0.5449819, 0.111707084, 0.08709777, -0.036501884, 0
11, 3108323953, -0.677578, -0.39097223, 0.3018945, -0.54488516, 0.1408516, 0.072346896, -0.04282856, 0
12, 3108340620, -0.6776583, -0.3909092, 0.30192626, -0.5448129, 0.122903295, 0.071932055, -0.0360651, 0
13, 3108357287, -0.6777259, -0.39087415, 0.30196673, -0.54473156, 0.114391245, 0.058116052, -0.03859234, 0
14, 3108373954, -0.67779005, -0.39081407, 0.30201948, -0.54466546, 0.13209303, 0.09960698, -0.061712265, 0
15, 3108390621, -0.6778391, -0.39075238, 0.30206043, -0.54462606, 0.10972251, 0.04156782, -0.0611372, 0
16, 3108407288, -0.6779069, -0.39067084, 0.30210665, -0.5445746, 0.11411677, 0.047925424, -0.0855484, 0
17, 3108423955, -0.6779873, -0.3905712, 0.30215612, -0.5445186, 0.11754412, 0.060861908, -0.056165695, 0
18, 3108440622, -0.67805606, -0.39047566, 0.3022264, -0.54446244, 0.13386169, 0.08983075, 0.0015707016, 0
19, 3108457289, -0.67811173, -0.3903913, 0.30235386, -0.54438287, 0.14654784, 0.080159344, 0.025445938, 0
20, 3108473956, -0.67818195, -0.39031404, 0.30245578, -0.5442942, 0.1330528, 0.06913435, 0.032318115, 0
21, 3108490623, -0.67826766, -0.390293, 0.30256128, -0.5441438, 0.11643818, 0.057771616, -0.02149868, 0
22, 3108507290, -0.67832446, -0.39035404, 0.3026655, -0.54397124, 0.14271794, 0.019588228, -0.06939983, 0
23, 3108523957, -0.67837876, -0.3903861, 0.3027445, -0.54383653, 0.17924778, 0.011458838, -0.088466644, 0
24, 3108540624, -0.6783806, -0.39042714, 0.3027929, -0.5437779, 0.1804353, 0.038284864, -0.08298874, 0
25, 3108557291, -0.67833346, -0.3904487, 0.30281627, -0.5438081, 0.15287258, 0.07719668, -0.086016655, 0
26, 3108573958, -0.67823553, -0.39049613, 0.3028763, -0.54386276, 0.15767692, 0.08252877, -0.06857872, 0
