sep=,
DeviceTag:,Xsens_DOT_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 11:35:31.075 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 1724096269, 0.48209348, -0.09039429, 0.20493712, 0.84704036, -0.3206233, 0.018864047, 0.34790993, 0
2, 1724112936, 0.48213425, -0.09044912, 0.20490515, 0.847019, -0.31381646, -0.016467318, 0.35226727, 0
3, 1724129603, 0.48218977, -0.09051805, 0.20488955, 0.8469838, -0.32130775, -0.003440088, 0.35067368, 0
4, 1724146270, 0.48223528, -0.090588465, 0.20492409, 0.846942, -0.3405398, 0.023635043, 0.36977673, 0
5, 1724162937, 0.4822682, -0.090629786, 0.20494871, 0.84691286, -0.35544956, 0.031565394, 0.3777752, 0
6, 1724179604, 0.48229325, -0.09067264, 0.20494017, 0.84689623, -0.30652407, 0.019171266, 0.36549377, 0
7, 1724196271, 0.48231977, -0.090709694, 0.2049002, 0.84688675, -0.30186272, -5.2760233E-4, 0.3635893, 0
8, 1724212938, 0.4823612, -0.09076635, 0.20485124, 0.8468689, -0.31905514, -0.00872751, 0.36170483, 0
9, 1724229605, 0.4824073, -0.0908161, 0.20482522, 0.8468436, -0.35550267, 0.016226146, 0.3368864, 0
10, 1724246272, 0.48242313, -0.09083874, 0.20481399, 0.8468348, -0.31470376, 0.021643542, 0.36797333, 0
11, 1724262939, 0.48244125, -0.0908631, 0.20479496, 0.84682643, -0.3246406, 0.010366084, 0.3815794, 0
12, 1724279606, 0.48247397, -0.090899564, 0.20475104, 0.8468145, -0.29930732, 0.014097856, 0.34923172, 0
13, 1724296273, 0.48252356, -0.090948984, 0.20470497, 0.8467921, -0.30927533, 0.0026400234, 0.3439598, 0
14, 1724312940, 0.48256955, -0.090995714, 0.20467597, 0.846768, -0.35191274, 0.02139712, 0.38579082, 0
15, 1724329607, 0.48260278, -0.091029376, 0.20465337, 0.846751, -0.31958622, 4.3015069E-4, 0.36721325, 0
16, 1724346274, 0.4826433, -0.091044515, 0.20462221, 0.8467338, -0.3054294, 0.0053451033, 0.34751606, 0
17, 1724362941, 0.48267576, -0.091088586, 0.20458798, 0.8467187, -0.31716642, 0.0038513518, 0.35533047, 0
18, 1724379608, 0.4827075, -0.09112838, 0.20456757, 0.84670126, -0.31217536, -0.0146753015, 0.34956837, 0
19, 1724396275, 0.48274815, -0.091187336, 0.20453857, 0.84667873, -0.2942833, -0.004083917, 0.35361004, 0
20, 1724412942, 0.482792, -0.09123896, 0.20450778, 0.8466557, -0.3347966, 0.018123772, 0.35566235, 0
21, 1724429609, 0.48284006, -0.09126916, 0.20447828, 0.8466322, -0.32646605, 0.007861509, 0.3565464, 0
22, 1724446276, 0.48286673, -0.09128877, 0.20444702, 0.84662235, -0.30468056, 0.008376259, 0.35276604, 0
23, 1724462943, 0.48290014, -0.09131266, 0.2044217, 0.84660685, -0.2991527, -0.0024196396, 0.35130692, 0
24, 1724479610, 0.4829479, -0.0913514, 0.20439741, 0.8465812, -0.28759298, -0.010530813, 0.3469553, 0
25, 1724496277, 0.4829958, -0.09139902, 0.20439063, 0.84655046, -0.33111167, 0.0059594144, 0.37314892, 0
