sep=,
DeviceTag:,Xsens_DOT_1,,,,,,,,,,,,,,,,,
FirmwareVersion:,3.0.0,,,,,,,,,,,,,,,,,
AppVersion:,2023.6.1,,,,,,,,,,,,,,,,,
SyncStatus:,Synced,,,,,,,,,,,,,,,,,
OutputRate:,60Hz,,,,,,,,,,,,,,,,,
FilterProfile:,General,,,,,,,,,,,,,,,,,
Measurement Mode:,Sensor fusion Mode - Extended (Quaternion),,,,,,,,,,,,,,,,,
StartTime:,2025-05-05 12:00:10.425 +0200,,,,,,,,,,,,,,,,,
 2025,,,,,,,,,,,,,,,,,,,

PacketCounter,SampleTimeFine,Quat_W,Quat_X,Quat_Y,Quat_Z,FreeAcc_X,FreeAcc_Y,FreeAcc_Z,Status
1, 3203442522, -0.6825207, -0.2385501, -0.1385696, 0.6768514, 0.052562423, -0.047834903, 0.29695415, 0
2, 3203459189, -0.6824485, -0.2383917, -0.13858257, 0.6769774, 0.04883199, 0.077058636, 0.33682346, 0
3, 3203475856, -0.6823963, -0.23830311, -0.13864726, 0.67704785, 0.107582375, 0.10351505, 0.37478352, 0
4, 3203492523, -0.6822969, -0.23828374, -0.13876686, 0.6771304, 0.28292695, 0.17446303, 0.3647356, 0
5, 3203509190, -0.6821399, -0.238341, -0.13891025, 0.6772392, 0.31604463, 0.33347446, 0.3045187, 0
6, 3203525857, -0.68203706, -0.23836803, -0.13895306, 0.6773244, 0.26664066, 0.2687907, 0.22901917, 0
7, 3203542524, -0.6820234, -0.23836769, -0.1388438, 0.67736053, 0.27920726, 0.31546253, 0.20921898, 0
8, 3203559191, -0.6820406, -0.23827288, -0.13861966, 0.67742246, 0.29198167, 0.28935257, 0.3450203, 0
9, 3203575858, -0.68204105, -0.23821437, -0.13838613, 0.67749035, 0.18891226, 0.3643923, 0.40791893, 0
10, 3203592525, -0.68204087, -0.23825584, -0.138154, 0.6775233, 0.14754, 0.36186406, 0.42738533, 0
11, 3203609192, -0.6820439, -0.23834689, -0.13796584, 0.6775266, 0.32050326, 0.2830509, 0.2723751, 0
12, 3203625859, -0.682012, -0.2383026, -0.13766122, 0.6776363, 0.362365, 0.34735283, 0.09403801, 0
13, 3203642526, -0.682081, -0.23815654, -0.13719976, 0.67771184, 0.34694105, 0.35789835, 0.10253143, 0
14, 3203659193, -0.682248, -0.23802114, -0.1365933, 0.67771375, 0.19845514, 0.2960202, 0.5319061, 0
15, 3203675860, -0.6824095, -0.23788574, -0.13603885, 0.67771006, 0.18993327, 0.2825121, 0.6119566, 0
16, 3203692527, -0.68249595, -0.23789407, -0.13568565, 0.677691, 0.13490437, 0.39491454, 0.48095322, 0
17, 3203709194, -0.6825088, -0.23799485, -0.13550103, 0.6776796, 0.10667893, 0.37852633, 0.47476864, 0
18, 3203725861, -0.6824579, -0.23815694, -0.13544343, 0.6776856, 0.19952779, 0.30197075, 0.32365227, 0
19, 3203742528, -0.6824181, -0.23817432, -0.135373, 0.6777334, 0.26932865, 0.26024544, 0.07784176, 0
